,Unnamed: 0,title,lyrics,label
10,10,Can’t Be Sure,give story give bed give possession oh love luck money go head like wildfire good something live youll find live tomorrow live job perfect behind high time england country home free miserable weather england happy england cry know desire terrible thing worst find know desire terrible thing rely mine ahah england country home free miserable weather england happy england cry know desire terrible thing worst find know desire terrible thing rely mine know desire terrible thing make world go blind desire desire terrible thing know really dont mind life life though cant sure want come later well life life though cant sure want come later yeeeah,Sadness
11,11,Help!,help need somebody help anybody help know need someone help wa younger much younger today never needed anybodys help way day gone im self assured find ive changed mind opened door help im feeling appreciate round help get foot back ground wont please please help life ha changed oh many way independence seems vanish haze every feel insecure know need like ive never done help im feeling appreciate round help get foot back ground wont please please help wa younger much younger today never needed anybodys help way day gone im self assured find ive changed mind opened door help im feeling appreciate round help get foot back ground wont please please help help help ooh,Sadness
12,12,When It Hurts so Bad,hurt bad hurt bad hurt bad hurt bad feel good hurt bad hurt bad hurt bad loved real real hard love wasnt returned found man id die wasnt even concerned tried tried tried keep life keep life cried cried cried couldnt make right loved young man ever love youd understand want might make cry need might pas dont catch dont catch dont catch need ironically turn want let let let let see thought feeling wa could love make feel bad gave power gave power existed whoever knew voodoo youd loved young man ever love youd understand want might make cry need might pas dont catch dont catch dont catch need ironically turn want let let let let see want might make cry need might pas dont catch dont catch dont catch need ironically turn want let let let let hurt bad hurt bad hurt bad hurt bad feel good hurt bad hurt bad hurt bad hurt bad hurt bad hurt bad hurt bad feel good hurt bad hurt bad hurt bad hurt bad hurt bad bad hurt bad hurt bad hurt bad,Sadness
13,13,"Another Brick in the Wall, Pt. 2",dont need education dont need thought control dark sarcasm classroom teacher leave kid alone hey teacher leave kid alone another brick wall youre another brick wall dont need education dont need thought control dark sarcasm classroom teacher leave kid alone hey teacher leave u kid alone youre another brick wall youre another brick wall wrong child playing wrong dont eat meat cant pudding wrong pudding dont eat meat wrong yes behind bike shed stand still laddie dont eat meat cant pudding pudding dont eat meat yes behind bike shed stand still laddie child playing phone beeping sound,Tension
14,14,Up!,im goin im goin im goin im goin im goin im goin bout bad could seems everybodys buggin like nothing want go way yeah aint day nothing coming easily even skin acting weird wish could grow beard could cover spot play connect dot wan na disappear go cloud gon na clear way even something simple forgetting fill gas aint explanation thing like make cry got ta learn laugh go cloud gon na clear way oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah everything goin wrong dont worry wont last long yeah gon na come around dont go let get got ta keep holding bad could bad could seems everybodys bugging everybodys bugging like nothing want go way yeah aint day nothing coming easily oh oh oh oh go cloud gon na clear way ooh im goin im goin im goin im goin im goin im goin im goin im goin ohh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah,Sadness
15,15,Bodyguard,gon na bodyguard ya mr boduguard gon na bodyguard ya mr bodyguard gon na bodyguard ya mr bodyguard cause iman nuh wan one mi yard one claim seh dem mi guard mi yard gon na bodyguard ya mr bodyguard want know gon na bodyguard ya mr bodyguard one day go dread dreader dread evryone looking place hide em head well dread gon na bodyguard ya mr bodyguard wan na know gon na bodyguard ya mr bodyguard yeah claim seh chief staff one day dem ha fi chuck yeah come walk gon na bodyguard ya mr bodyguard dont know gon na bodyguard ya mr bodyguard yeah cause iman nuh wan one mi yard one claim seh dem mi guard mi yard gon na bodyguard ya mr bodyguard wan na know gon na bodyguard ya mr bodyguard yeah,Sadness
16,16,"Sing About Me, I’m Dying of Thirst",light shut turn settle main concern promise sing promise sing said light shut turn settle main concern promise sing promise sing woke morning figured id call case im tomorrow im hopin borrow peace mind im behind whats really important mind really distorted find nothing trouble life im fortunate believe dream orphanage call ghetto quite routine last night wa another distraction reaction consider madness know exactly happened ran outside heard brother cry help held like newborn baby made feel like everything wa alright fight tried put type bullet stuck went thats blood spilled hand plan rather vindictive everybodys victim eye ride murderous rhythm outside became pitch black demon glued back whispering get em got em aint give fuck mentality told brother duck actuality trip trip color wonder ill ever discover passion like recover life knew youngin pajama duntaduns thunder come rain cat dog dumb nigga like never prosper prognosis problem child im proud welldevoted piru shit forever forever ima push wherever whenever love cause love brother like promise youll tell story make big die album drop hope promise sing promise sing said light shut turn settle main concern promise sing promise sing wrote song sister tape called section80 message resembled brendas got baby whats crazy wa wa hearin doubted ignorance could ever put blast shit judgin past shit well completely future nigga behind right askin shit ima need forty dollar even got fuck suck swallow parking lot gonzales park im followed married man father three titty bounce cadence tinklin key matter fact favorite cause tip e got cousin named david seen last week life another girl damaged system foster home run away never miss em see hormone run away get em back used ill probably denim family gene show woman woman better yet leader need learn somethin probably need beat thats wa taught three nigga one room first time wa tossed im exhausted fuck sorry loss shit sister died vain point tryna gain cant fit pump walk ill wait rebuttal little late album date make sure im song cause dont need attention bring enough matter fact mention physically feel great doctor approval waste time know im straight ill probably live longer never fade away ill never fade away ill never fade away know fate im grind cake ima get die tryin im eyein every male gender intention buyin lyin motherfucker talkin help em story help sell pussy nigga dont ignore nigga fuck glory nigga aint shit light shut turn settle main concern promise sing promise sing said light shut turn settle main concern promise sing promise sing sometimes look mirror ask really scared passin away today hope hear cry heaven loud water demon holy ghost til drown blood jesus wrote rap made sure lifeline reekin scent reaper ensurin allegiance side may come soon im doomed may womb mother blessed many moon suffer lot every day glass mirror get tougher watch tie stomach knot im sure im infatuated death imagination surely aggravation threat come cause tongue mighty powerful name list favorite probably vouch maybe cause im dreamer sleep cousin death really stuck schema wonderin ima rest youre right brother wa brother sister situation wa one pulled direction speak somethin thats realer tv screen mean wasnt tryin offend come personal life wa like need told cursin life twenty generation soul exactly whatd happen aint continue rappin steady bein distracted money drug 45s count life song look weak cry pray one day youll strong fightin right even youre wrong hope least one sing im gone worth put enough work promise sing promise sing said light shut turn settle main concern promise sing promise sing promise youll sing forever promise youll sing ooooh promise youll sing forever promise youll sing ooooh promise youll sing forever promise youll sing ooooh promise youll sing forever promise youll sing ooooh phone ay ay ay bout go nigga homies brother nigga right gone nigga gone nigga killed homies brother nigga right block nigga al alright nigga nigga come alright alright call back man call back arghh fuck gon nigga gon bro go back right nigga like nigga dont give fuck nigga go back right fuck im tired shit im tired fuckin runnin im tired shit brother homie tired runnin tired huntin kind retirin nothin tire steady screechin driver rubbin hand wheel said wasnt dyin thirst dyin thirst dyin thirst dope corner look coroner daughter dead mother mournin stray bullet ak bullet resuscitation wa waitin patiently couldnt bring back got footage channel 9 camera lookin hard channel energy know crooked banana clip split banana pudding im like tre thats cuba gooding know im good dyin thirst dyin thirst dyin thirst many sin im runnin many sin lost count dream ballin like spalding shotty bounce reaper callin im cottonmouth money power money power lay snitch die coward hope get rich hope tower city vanity music louder song black flower ill show dye thirst dye thirst dye thirst doin foolin hell hot fire proven burn eternity return student never learned live righteous shoot tired runnin choir hummin tell u visit lie comin back business loadin gun back buick hood feudin beef bubblin discussion hereditary cousin dyin thirst dyin thirst dyin thirst many sin im runnin somebody send well drought see know takin note takin life granted granted provoke best day stress day lord forgive sin know best day stress day say fuck world sex slave money pussy greed whats next crave whatever know next grave tired runnin tired runnin tired tumblin tired runnin tired tumblin backwards momma say see pastor give promise today wa rapture completely tarnished truth set free completely honest dyin thirst dyin thirst hop water pray work fuck im tired shit im tired fuckin runnin im tired shit thats brother homie young man come talk think know thats think angry see young men dying thirst know mean mean need water holy water need baptized spirit lord want receive god personal savior okay repeat lord god come sinner lord god come sinner humbly repent sin humbly repent sin believe jesus lord believe jesus lord believe raised dead believe raised dead would ask jesus come life would ask jesus come life lord savior lord savior receive jesus take control life receive jesus take control life may live day forward may live day forward thank lord jesus saving precious blood thank lord jesus saving precious blood jesus name amen jesus name amen alright remember day start new life real life,Sadness
17,17,Break On Through (To the Other Side),know day destroys night night divide day tried run tried hide break side break side break side yeah chased pleasure dug treasure cant still recall time cried break side break side everybody love baby everybody love baby get high get high get high get high yeah found island arm country eye arm chain eye lie break side break side break oh oh yeah made scene week week day day hour hour gate strait deep wide break side break side break break break break yeah yeah yeah yeah yeah yeah yeah yeah yeah,Tenderness
18,18,Reunited,wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker wu reunited double lp world excited struck match underground industry ignited metaphorical parable fertilize earth wicked nigga come try burglarize turf scatting softass beat nigga rap happily tragically style deteriorate rapidly uncompleted mission throwing best known composition couldnt add mastered addition come getting visuals habitual youre safe walking hot coal ritual splash paint wall formed mural took look saw manifestation wa plural rhyming impaired dart hit garment pierced internal streamlined compartment consider unparalleled advantage natural disaster thats impossible manage bitchass nigga counterfeit funk smoke bead skunk tree top trunk moonshine drunken monk head get shrunk treasure sunk fucking bitch chunk name black worm wan na play dirt bitch stop momma serve free lunch church cum like thousand dove bitch quiet bus making fuss got self love unglove noose watch nigga transfuse dirty add fuse heavy booze dont walk get carried gold platinum frisbee wall looking properly comely ufo wright brother indian sold manhattan white man grandfather step get knocked right fuck come cookout dirty bitch mouth scared run around like plane crash wutang motherfucker wutang motherfucker yeah rza yo yo riddler funny bone tickler freak caligula bigger dick sex enigma pistil fertilize stigma stinkbox order pink dot mc get stuck ink blot airsound plug sinkbox wutang incorp take brain spacewarp talk strange like bjrk great hero jim thorpe put life like video footage hard edit director never understood impulsive deadly corrosive dosage attack least notice explosive postage dont play rap souffle saut day ruler zigzagzig leg leg arm head spread like plague drink hennessy keg got golden egg plus goose eighty proof absolut mixed cranberry fruit juice ginseng root got neck noose keep money wrinkled rap star twinkle killer instinct sixteen bar nickel sell copy kinko grow like fetus hand foot complete u return like jesus whole world need u appetite destruction slap murder rap production touch something trust nothing iron lungtwisted metal see em ducking dart gun busting every angle worldwide total carnage sickest flow codenamed agent orange killing slow right pay homage thats bout blow like shit nose solid rock strike target verbal screaming like drill sergeant herbal got wan na right dont know time check hour sundial watch shine drunk cheap wine line point speak mine behalf crew suuuuuuuuuuu enter wu 36 deadly chamber take wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker wu motherfucker wutang motherfucker oh yeahhhh ahhh aiyy yeahh yeahhhahh aiii rza,Sadness
19,19,Empire State of Mind,yeah yeah im brooklyn im tribeca right next de niro ill hood forever im new sinatra since made make anywhere yeah love everywhere used cop harlem hola dominicanos right broadway brought back mcdonalds took stash spot 560 state street catch kitchen like simmons whippin pastry cruisin 8th street offwhite lexus drivin slow bk texas im bedstuy home boy biggie live billboard brought boy say ty ty still sippin mai tai sittin courtside knicks net give high five nigga spiked could trip referee tell attitude im definitely new york ayy aha uh yeah concrete jungle yeah dream made nothin cant yeah okay youre new york aha aha aha uh yeah street make feel brandnew new big light inspire come okay let hear new york youre welcome og come new york yeah new york uh made hot nigga catch x og yankee game shit made yankee hat famous yankee know bleed blue aint crip though got gang nigga walkin clique though welcome meltin pot corner sellin rock afrika bambaataa shit home hiphop yellow cab gypsy cab dollar cab holla back foreigner aint fair act like forgot add eight million story naked city pity half yall wont make got ta plug special ed got made jeezys payin lebron im payin dwyane wade three dice cee lo three card monte labor day parade rest peace bob marley statue liberty long live world trade long live king yo im empire state thats new york ayy uh yeah concrete jungle dream made nothin cant boy good okay youre new york uh yeah welcome bright light baby street make feel brandnew big light inspire okay let hear new york come new york yeah new york uh light blinding girl need blinder step bound quick side line lined casualty sip life casually gradually become worse dont bite apple eve caught incrowd youre instyle winter get cold en vogue skin city sin pity whim good girl gone bad city filled mami took bus trip got bust everybody ride like bus route hail mary city youre virgin jesus cant save life start church end came school graduated high life ball player rap star addicted limelight mdma got feelin like champion city never sleep better slip ambien new york ayy ah uh yeah concrete jungle dream made nothin cant okay youre new york uh yeah street make feel brandnew big light inspire okay let hear new york come new york yeah new york uh one hand air big city street light big dream lookin pretty place world could compare put lighter air everybody say yeah come come yeah come new york uh yeah concrete jungle dream made nothin cant okay youre new york uh yeah street make feel brandnew big light inspire okay let hear new york come new york yeah new york uh,Sadness
20,20,Wreck a pum pum,intro hear crowd people dedicate one de possie dem seen lord hear country posse wan hear mobay posse wan hear kingston possie wan hear girl walk girl talk talk yellowman broke heart take mic started talk lickle man dancehall cork laugh food nyam lickle promoter laugh de ram jam master bad superdupper yellowman de teacher eh one thing yellowman cant understand every music go number one bruk girl weh call sharon rub upon hand give romance let wreck pum pum pon big fat ting x2 let rub big fat ting way saint elizabeth bruk girl weh call bridget say yellowman love death well free food clothes haffi fe get kiss pon chin rub chest love kiss caress come loving yellowman de best let wreck pum pum pon big fat ting x2 way go negril bruk whitey twenty dollar bill say yellowman fe skill ride one wheel bicycle mandeville better jack better jill say ride upon belly like ride pon hill let wreck pum pum pon big fat ting x2 way golden spring bruk girl weh named sissy lynn say come loving yellow king say lie pon like lizard pon limb let wreck pum pum pon big fat ting x2 way san diego bruk girl love bend back touch toe dance say please dont go say yellowman love sweet like mr sparrow rolling belly like damn go go let wreck pum pum pon big fat ting x2 way clarendon didnt drive car take minivan bruk de girl weh call named sharon said yellowman rich man heard money inna de bank inna every parish 50 woman let wreck pum pum pon big fat ting x2,Tenderness
21,21,Where Did You Sleep Last Night,girl girl dont lie tell sleep last night pine pine sun dont ever shine would shiver whole night girl girl go im going cold wind blow pine pine sun dont ever shine would shiver whole night husband wa hard working man mile head wa found driving wheel body never wa found girl girl dont lie tell sleep last night pine pine sun dont ever shine would shiver whole night shiver girl girl go im going cold wind blow pine pine sun dont ever shine would shiver whole night girl girl dont lie tell sleep last night pine pine sun dont ever shine would shiver whole night girl girl go im going cold wind blow pine pine sun dont shine id shiver whole night thank,Sadness
22,22,Identikit,moon shaped pool dancing clothes wont let know never gon na oh moon shaped pool dancing clothes wont let know never gon na oh moon shaped pool dancing clothes wont let know never gon na oh sweetfaced one nothing left inside love love sweetfaced one nothing left inside love love see messing around dont want know dont want know dont want see messing around dont want know dont want know dont want know broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain broken heart make rain piece ragdoll mankind create create piece ragdoll mankind create create see messing around dont want know dont want know dont want see messing around dont want know dont want know dont want know,Sadness
23,23,High and Dry,two jump week bet think thats pretty clever dont boy flying motorcycle watching ground beneath drop youd kill recognition kill never ever stop broke another mirror youre turning something dont leave high dont leave dry dont leave high dont leave dry drying conversation one talk inside fall piece sit wishing could still make love theyre one wholl hate think youve got world sussed theyre one wholl spit one screaming dont leave high dont leave dry dont leave high dont leave dry oh best thing youve ever best thing youve ever ever best thing youve ever best thing youve ha gone away dont leave high dont leave dry dont leave high dont leave dry dont leave high dont leave high dont leave dry,Tension
24,24,That Summer,went work summer teenage kid far home wa lonely widow woman hellbent make thousand mile nowhere wheat field far could see needing somethin knowin yet might til came one evenin hot cup coffee smile dress wa certain hadnt worn quite wa difference laughter wa softness eye air wa hunger even boy could recognize need feel thunder chase lightnin sky watch storm wonder ragin lover eye ride heat passion like comet burnin bright rushin headlong wind dream burnin end night summer wind wa around nothin u night told id never softly whispered thats alright watched hand leather turn velvet touch never another summer ever learned much need feel thunder chase lightnin sky watch storm wonder ragin others eye ride heat passion like comet burnin bright rushin headlong wind dream burnin end night often think summer sweat moonlight lace rarely held another havent seen face every time pas wheat field watch dancin wind although know isnt real cant help feel hungry arm need feel thunder chase lightnin sky watch storm wonder ragin lover eye ride heat passion like comet burnin bright rushin headlong wind dream burnin end night rushin headlong wind dream burnin end night,Tenderness
25,25,Pick Myself Up,sittin morning sun watching bird passing oh sweet sing oh much wish could fly try said try try really try try try got pick dust start chorus 2x sittin midday sun wondering meal coming working hard even piece bread yard said try oh lord try try really try try try sittin evening sun watching bird passing sittin wondering waiting time fly try said try good lord try really try try try long find wa waste time long find wasting time ive got pick,Sadness
26,26,Mailman,hello dont know im dirt beneath foot important fool forgot see ive seen give want receive im sure would cause know im headed bottom know im headed bottom know im headed bottom im riding way yeah im riding way im riding yeah kiss turned spit face reminds place time made disappear time im sure know im cause know im headed bottom know im headed bottom know im headed bottom im riding way yeah im riding way riding way riding way riding riding way place wa beneath im send message love simple reminder wont see future holy without know im headed bottom know im headed bottom know im headed im riding way yeah im riding way im riding way yeah im riding yes im riding im riding yes im riding im riding way yes,Sadness
27,27,A Milli,bangladesh young money dig mack im going millionaire im young money millionaire tougher nigerian hair criterion compared career isnt fair im venereal disease like menstrual bleed pencil leak sheet tablet mind cause dont write shit cause aint got time cause second minute hour go almighty dollar almighty power chchachachopper sister brother son daughter father motherfuck copper got maserati dancin bridge pussy poppin tell copper hahahaha cant catch cant stop go goon rule cant beat em pop em cant man em mop em cant stand em drop em pop em cause pop em like orville redenbacher motherfucker im ill million million sicilian bitch long hair coke derriere like smoking thinnest air open lamborghini hopin cracker see like look bastard weezy beast dog mothafuckin problem okay youre goon whats goon goblin nothin nothin aint scarin nothin faggot bullshit call em dennis rodman call want bitch call sidekick never answer private damn hate shy bitch dont hate shy bitch yeah ate shy bitch aint shy changed name bitch yeah nigga thats bitch ask money dont surprised bitch aint trickin got like bitch aint got shit motherfucker im ill sick im okay watch sick yeah drop sick yeah glock sick knot thick im motherfucker im ill see say im rappin like big jay 2pac andr 3000 erykah badu said gon beat lil wayne name aint bic keep flame man one boy knew true swallow shit got loose bowel dont owe like two vowel would like pay hour id rather pushin flower pen sharin shower tony told u world wa bible told u every girl wa sour dont play garden dont smell flower call mr carter mr lawn mower boy got many bitch like im mike lowrey even gwen stefani said couldnt doubt motherfucker say life aint shit without chrome lip pokin coupe look like poutin bitch turn crack rock mountain dare dont compare cause aint nobody near dont see hear dont feel fear im illy c3 3 peat,Tension
28,28,Blue Christmas,ill blue christmas without ooh ooh ooh ooh ill blue thinking ooh ooh ooh ooh decoration red green christmas tree ahh ahh wont dear youre ooh blue snowflake start fallin ooh ooh ooh ooh thats blue memory start callin ooh ooh ooh ooh youll doin right christmas white ahh ahh ill blue blue blue blue christmas oooooaaaooooh oooooaaaooooh youll doin right christmas white ahh ahh ill blue blue blue blue christmas ooh ooh ooh ooh,Sadness
29,29,I Will Always Love You,stay would way ill go know ill think step way always love always love bittersweet memory thats im taking goodbye please dont cry know im need always love always love hope life treat kind hope ever dreamed wish joy happiness wish love always love always love always love,Tenderness
